"Var1","Freq","group","x","label","rank","label1","Country","Year","Survey"
"0",11.1632140507742,10,1,"",0,"0","Benin",2011,"BJIR61FL"
"1:A",0.609580682388486,10,1,"A",10," ","Benin",2011,"BJIR61FL"
"1:E",3.74651230038276,10,1,"E",24,"1:E","Benin",2011,"BJIR61FL"
"1:G",8.33943686815284,10,1,"G",28,"1:G","Benin",2011,"BJIR61FL"
"1:P",6.05089582345756,10,1,"P",26,"1:P","Benin",2011,"BJIR61FL"
"1:W",1.88705457773518,10,1,"W",16," ","Benin",2011,"BJIR61FL"
"2:AE",0.363504414023442,10,1,"AE",9," ","Benin",2011,"BJIR61FL"
"2:AG",0.340587744464658,10,1,"AG",8," ","Benin",2011,"BJIR61FL"
"2:AP",1.63852491460018,10,1,"AP",14," ","Benin",2011,"BJIR61FL"
"2:AW",0.00506587141148679,10,1,"AW",1," ","Benin",2011,"BJIR61FL"
"2:EG",3.41027350462716,10,1,"EG",23,"2:EG","Benin",2011,"BJIR61FL"
"2:EP",8.95361489975514,10,1,"EP",31,"2:EP","Benin",2011,"BJIR61FL"
"2:EW",2.94111257570475,10,1,"EW",21,"2:EW","Benin",2011,"BJIR61FL"
"2:GP",5.137417124709,10,1,"GP",25,"2:GP","Benin",2011,"BJIR61FL"
"2:GW",1.82896969340801,10,1,"GW",15," ","Benin",2011,"BJIR61FL"
"2:PW",0.734684639802545,10,1,"PW",11," ","Benin",2011,"BJIR61FL"
"3:AEG",0.244111421095386,10,1,"AEG",7," ","Benin",2011,"BJIR61FL"
"3:AEP",2.81355213297313,10,1,"AEP",19,"3:AEP","Benin",2011,"BJIR61FL"
"3:AEW",0.159318427985981,10,1,"AEW",3," ","Benin",2011,"BJIR61FL"
"3:AGP",1.4583704544323,10,1,"AGP",13," ","Benin",2011,"BJIR61FL"
"3:AGW",0.0276205613348401,10,1,"AGW",2," ","Benin",2011,"BJIR61FL"
"3:APW",0.165908198419543,10,1,"APW",4," ","Benin",2011,"BJIR61FL"
"3:EGP",8.21155560489154,10,1,"EGP",27,"3:EGP","Benin",2011,"BJIR61FL"
"3:EGW",3.07378230812585,10,1,"EGW",22,"3:EGW","Benin",2011,"BJIR61FL"
"3:EPW",8.76629671289428,10,1,"EPW",30,"3:EPW","Benin",2011,"BJIR61FL"
"3:GPW",0.875847588637946,10,1,"GPW",12," ","Benin",2011,"BJIR61FL"
"4:AEGP",2.50409479379142,10,1,"AEGP",17,"4:AEGP","Benin",2011,"BJIR61FL"
"4:AEGW",0.187542766653641,10,1,"AEGW",5," ","Benin",2011,"BJIR61FL"
"4:AEPW",2.86027829695498,10,1,"AEPW",20,"4:AEPW","Benin",2011,"BJIR61FL"
"4:AGPW",0.221558032455235,10,1,"AGPW",6," ","Benin",2011,"BJIR61FL"
"4:EGPW",8.65745172280268,10,1,"EGPW",29,"4:EGPW","Benin",2011,"BJIR61FL"
"5:AEGPW",2.62226129115388,10,1,"AEGPW",18,"5:AEGPW","Benin",2011,"BJIR61FL"
"0",18.0604547339442,20,1,"",0,"0","Benin",2011,"BJIR61FL"
"1:A",1.40926668337814,20,1,"A",18," ","Benin",2011,"BJIR61FL"
"1:E",15.9271828070568,20,1,"E",31,"1:E","Benin",2011,"BJIR61FL"
"1:G",8.59532949889791,20,1,"G",29,"1:G","Benin",2011,"BJIR61FL"
"1:P",4.88460682420864,20,1,"P",26,"1:P","Benin",2011,"BJIR61FL"
"1:W",1.03828336705039,20,1,"W",13," ","Benin",2011,"BJIR61FL"
"2:AE",2.9242915865767,20,1,"AE",22,"2:AE","Benin",2011,"BJIR61FL"
"2:AG",0.850626629676214,20,1,"AG",11," ","Benin",2011,"BJIR61FL"
"2:AP",1.37162907890043,20,1,"AP",17," ","Benin",2011,"BJIR61FL"
"2:AW",0.0772084940829484,20,1,"AW",4," ","Benin",2011,"BJIR61FL"
"2:EG",6.71553515969326,20,1,"EG",28,"2:EG","Benin",2011,"BJIR61FL"
"2:EP",9.35523151913337,20,1,"EP",30,"2:EP","Benin",2011,"BJIR61FL"
"2:EW",5.76062933904604,20,1,"EW",27,"2:EW","Benin",2011,"BJIR61FL"
"2:GP",2.57769422108203,20,1,"GP",21,"2:GP","Benin",2011,"BJIR61FL"
"2:GW",0.510384520488978,20,1,"GW",9," ","Benin",2011,"BJIR61FL"
"2:PW",0.23496575574179,20,1,"PW",6," ","Benin",2011,"BJIR61FL"
"3:AEG",1.18746676888309,20,1,"AEG",14," ","Benin",2011,"BJIR61FL"
